epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.484,1.63467,3.8097,1.56343,0.49121,0.52466,0.51969,0.37376,1.16886,82.4473,1.18238,0.00332211,0.00332211,0.00332211
2,424.573,1.54883,1.87179,1.43872,0.62997,0.45226,0.47593,0.28966,1.15404,10.7218,1.15211,0.00657308,0.00657308,0.00657308
3,641.5,1.79844,2.24221,1.58799,0.37881,0.25248,0.20521,0.11135,1.47311,277.691,1.5802,0.00974155,0.00974155,0.00974155
4,858.451,1.88631,2.34999,1.67664,0.57315,0.42766,0.42232,0.24035,1.23481,8.8759,1.22202,0.00962875,0.00962875,0.00962875
5,1078.71,1.78582,2.06103,1.60281,0.57119,0.49965,0.51951,0.31106,1.2235,15.3571,1.22258,0.009505,0.009505,0.009505
6,1295.47,1.69791,1.85649,1.55677,0.70916,0.51745,0.59144,0.3663,1.19019,14.2492,1.21063,0.00938125,0.00938125,0.00938125
7,1519.28,1.63281,1.70909,1.51837,0.73106,0.57936,0.65068,0.42283,1.11659,8.79183,1.14001,0.0092575,0.0092575,0.0092575
8,1742.35,1.58334,1.61144,1.48682,0.71486,0.65152,0.70244,0.4445,1.09365,11.9535,1.10393,0.00913375,0.00913375,0.00913375
9,1964.78,1.53005,1.50617,1.45088,0.68861,0.58239,0.65549,0.44127,1.09726,32.2031,1.12471,0.00901,0.00901,0.00901
10,2186.63,1.52209,1.47447,1.44736,0.825,0.69546,0.77167,0.51212,1.03359,2.94861,1.05276,0.00888625,0.00888625,0.00888625
11,2413.62,1.47875,1.40365,1.41495,0.78791,0.69192,0.76533,0.49787,1.05461,7.57458,1.07859,0.0087625,0.0087625,0.0087625
12,2633.83,1.46072,1.33631,1.40519,0.80511,0.69776,0.75808,0.50629,1.05855,10.7242,1.07007,0.00863875,0.00863875,0.00863875
13,2856.96,1.45716,1.32279,1.39614,0.80079,0.74487,0.80655,0.55329,1.0204,9.10999,1.03484,0.008515,0.008515,0.008515
14,3080.53,1.42304,1.28568,1.37776,0.83933,0.79571,0.84891,0.59015,1.01731,5.97918,1.02834,0.00839125,0.00839125,0.00839125
15,3304.33,1.42455,1.2648,1.3764,0.86701,0.80333,0.86851,0.60562,0.99712,3.63678,1.02568,0.0082675,0.0082675,0.0082675
16,3525.35,1.4185,1.22459,1.37678,0.82559,0.73087,0.79597,0.5402,1.04533,5.56254,1.06666,0.00814375,0.00814375,0.00814375
17,3747.81,1.38255,1.20216,1.35575,0.90119,0.78733,0.86584,0.6083,1.00333,3.67585,1.03228,0.00802,0.00802,0.00802
18,3977.69,1.37273,1.17343,1.34773,0.8849,0.77838,0.85925,0.61109,0.97587,2.46597,1.00694,0.00789625,0.00789625,0.00789625
19,4211.06,1.35408,1.13113,1.33422,0.88039,0.80087,0.87474,0.61939,0.98964,3.47236,1.01593,0.0077725,0.0077725,0.0077725
20,4450.68,1.3508,1.12914,1.33824,0.85295,0.80937,0.8718,0.62341,0.97596,8.64829,1.00861,0.00764875,0.00764875,0.00764875
21,4687.45,1.3388,1.10644,1.33085,0.90254,0.83111,0.89336,0.63898,0.98479,3.44386,1.01455,0.007525,0.007525,0.007525
22,4934.48,1.3399,1.10095,1.32519,0.86424,0.81303,0.87313,0.63224,0.96355,5.09427,0.99963,0.00740125,0.00740125,0.00740125
23,5178.81,1.31489,1.08012,1.3164,0.90975,0.84116,0.906,0.65558,0.95593,3.13607,0.9925,0.0072775,0.0072775,0.0072775
24,5414.23,1.31915,1.07164,1.31547,0.89918,0.84916,0.90751,0.66888,0.95041,3.52771,0.99098,0.00715375,0.00715375,0.00715375
25,5664.08,1.29856,1.04155,1.30518,0.89772,0.85111,0.90005,0.66068,0.94604,4.76257,0.98245,0.00703,0.00703,0.00703
26,5907.36,1.29388,1.03018,1.30358,0.93055,0.85734,0.91529,0.67692,0.94153,2.59163,0.98284,0.00690625,0.00690625,0.00690625
27,6151.52,1.28684,1.02068,1.29661,0.91599,0.86335,0.91599,0.68108,0.94298,2.22668,0.98278,0.0067825,0.0067825,0.0067825
28,6397.31,1.28256,1.001,1.29765,0.91024,0.87737,0.92604,0.69124,0.93736,2.76083,0.97811,0.00665875,0.00665875,0.00665875
29,6637.11,1.27845,0.99578,1.28758,0.92155,0.88173,0.92179,0.68904,0.93721,2.73124,0.97417,0.006535,0.006535,0.006535
30,6882.32,1.2708,0.98093,1.28616,0.92465,0.88088,0.92462,0.69167,0.93285,2.73768,0.97392,0.00641125,0.00641125,0.00641125
31,7123.09,1.26059,0.96786,1.28021,0.9247,0.87797,0.92886,0.69708,0.92534,3.10894,0.96986,0.0062875,0.0062875,0.0062875
