epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.942,1.25102,1.55235,1.41016,0.81098,0.75628,0.82619,0.55686,1.05366,0.76072,1.21925,0.00331276,0.00331276,0.00331276
2,231.69,1.16375,1.05843,1.30138,0.60355,0.53989,0.55146,0.35883,1.237,1.63737,1.43091,0.00656385,0.00656385,0.00656385
3,346.781,1.30155,1.25389,1.40777,0.4419,0.43087,0.37763,0.20012,1.61023,3.18243,1.93749,0.00973243,0.00973243,0.00973243
4,461.778,1.39401,1.43719,1.5007,0.56739,0.50472,0.51318,0.29498,1.51665,1.934,1.72258,0.00962875,0.00962875,0.00962875
5,576.684,1.32935,1.31972,1.45773,0.6205,0.59703,0.60372,0.38201,1.3039,1.53306,1.5078,0.009505,0.009505,0.009505
6,691.421,1.29675,1.25454,1.43654,0.7511,0.66475,0.72076,0.46945,1.19603,1.1502,1.39697,0.00938125,0.00938125,0.00938125
7,806.604,1.25059,1.17926,1.40293,0.75222,0.69273,0.73181,0.48669,1.15889,1.26539,1.36887,0.0092575,0.0092575,0.0092575
8,921.232,1.22412,1.13573,1.38385,0.82334,0.72556,0.78615,0.52229,1.11057,0.85571,1.33216,0.00913375,0.00913375,0.00913375
9,1035.9,1.2028,1.0897,1.37181,0.82387,0.72485,0.78701,0.53449,1.07885,0.89324,1.30828,0.00901,0.00901,0.00901
10,1150.54,1.17384,1.04938,1.34897,0.81759,0.72548,0.78575,0.52981,1.11059,0.86155,1.33101,0.00888625,0.00888625,0.00888625
11,1265.24,1.16556,1.02735,1.34109,0.82619,0.75378,0.81063,0.54527,1.08905,0.81839,1.32085,0.0087625,0.0087625,0.0087625
12,1379.89,1.15473,1.00944,1.33144,0.82768,0.7728,0.8312,0.57948,1.01909,0.75149,1.24091,0.00863875,0.00863875,0.00863875
13,1494.56,1.12998,0.97744,1.31848,0.84069,0.76379,0.8305,0.57704,1.0401,0.74847,1.27066,0.008515,0.008515,0.008515
14,1609.25,1.11414,0.95191,1.31091,0.84522,0.77427,0.83128,0.58217,1.01666,0.76983,1.26336,0.00839125,0.00839125,0.00839125
15,1723.92,1.10449,0.93964,1.30241,0.86182,0.78576,0.85058,0.59533,1.01824,0.70015,1.24634,0.0082675,0.0082675,0.0082675
16,1838.44,1.09612,0.91947,1.29446,0.84235,0.78131,0.83649,0.58599,1.01855,0.71867,1.25799,0.00814375,0.00814375,0.00814375
17,1952.88,1.09475,0.90418,1.28755,0.86458,0.79945,0.85755,0.60555,0.9914,0.67883,1.22781,0.00802,0.00802,0.00802
18,2067.59,1.09033,0.89715,1.28528,0.86124,0.81717,0.86065,0.60203,0.98773,0.68558,1.2236,0.00789625,0.00789625,0.00789625
19,2182,1.07325,0.87067,1.27047,0.86287,0.80384,0.86124,0.6106,0.98497,0.66017,1.22729,0.0077725,0.0077725,0.0077725
